t;houseId;Q;Ta;G
03/08/2009;3;0.647916674;18.79501736;132.5324231
04/08/2009;3;0.652777784;17.02888542;203.8626682
05/08/2009;3;0.618750006;17.51517986;264.2356055
06/08/2009;3;0.495138895;19.60582292;296.4236621
07/08/2009;3;0.62500001;20.13688889;289.2226512
08/08/2009;3;0.713888894;20.39320035;271.6477916
09/08/2009;3;0.853472224;20.63958264;190.7639716
10/08/2009;3;0.733333342;20.00106076;190.525446
11/08/2009;3;0.713888895;18.38670486;204.0867666
12/08/2009;3;0.774305557;16.53576597;153.3443407
13/08/2009;3;0.786805565;16.32439792;201.4998938
14/08/2009;3;0.677083338;14.77496389;250.4938502
15/08/2009;3;0.927777788;14.81045972;214.5293355
16/08/2009;3;0.731944454;NA;NA
17/08/2009;3;0.753472227;NA;NA
18/08/2009;3;0.757638895;15.82857743;121.4566325
19/08/2009;3;0.735416675;15.20859826;218.5765143
20/08/2009;3;0.710416669;17.62012431;272.5645376
21/08/2009;3;0.563888894;21.7585816;226.7376562
22/08/2009;3;0.578472227;18.57626875;203.739916
23/08/2009;3;0.846527788;15.86035;247.3059591
24/08/2009;3;0.791666663;16.47906701;248.5795192
25/08/2009;3;0.749999997;18.66266111;271.1902178
26/08/2009;3;0.811805569;18.00769965;116.9006575
27/08/2009;3;0.910416674;16.97986875;205.1367805
28/08/2009;3;0.803472222;19.11710799;190.290748
29/08/2009;3;0.794444446;16.29275521;130.678811
30/08/2009;3;0.860416672;12.79880972;152.0511636
31/08/2009;3;0.816666659;13.27187604;179.5080568
01/09/2009;3;0.797916669;16.27077847;114.7825071
02/09/2009;3;0.757638895;18.02284306;178.8744685
03/09/2009;3;0.866666675;15.7832316;161.5041729
04/09/2009;3;0.926388892;14.9970066;94.02619095
05/09/2009;3;0.851388893;13.78063993;179.0576706
06/09/2009;3;1.225694442;13.53506701;141.1144372
07/09/2009;3;1.092361112;14.08723438;105.0204924
08/09/2009;3;1.247222223;15.74532361;154.467084
09/09/2009;3;0.918055559;18.43468021;203.5886281
10/09/2009;3;0.649305567;17.12019688;137.5686016
11/09/2009;3;1.093055564;14.08332986;196.7766894
12/09/2009;3;0.575000018;13.87604167;193.5700426
13/09/2009;3;NA;13.21305972;166.5692426
14/09/2009;3;0.699999988;13.81815382;173.0207087
15/09/2009;3;1.372916669;14.50605556;174.0682479
16/09/2009;3;1.192361109;13.88709965;169.682405
17/09/2009;3;1.249305563;12.90609063;200.9851862
18/09/2009;3;1.434027774;12.43370208;191.0820711
19/09/2009;3;1.702777786;12.76802396;194.5394034
20/09/2009;3;1.513888886;14.31832708;203.3151352
21/09/2009;3;0.981944446;14.13254896;150.0079622
22/09/2009;3;1.301388889;13.14404132;178.0815195
23/09/2009;3;1.126388889;14.82285868;135.8330444
24/09/2009;3;1.14027778;13.61377535;90.36596766
25/09/2009;3;1.225000001;12.57434549;174.6781942
26/09/2009;3;1.161805557;13.85146389;144.5916338
27/09/2009;3;1.181249996;14.31937257;52.53233297
28/09/2009;3;1.45902777;NA;NA
29/09/2009;3;1.029861103;NA;NA
30/09/2009;3;1.284027776;NA;NA
01/10/2009;3;1.76180556;NA;NA
02/10/2009;3;1.51736111;NA;NA
03/10/2009;3;1.939583328;NA;NA
04/10/2009;3;1.947916667;NA;NA
05/10/2009;3;1.719444446;NA;NA
06/10/2009;3;1.634027781;9.248320278;105.2850774
07/10/2009;3;1.650694435;11.38727882;131.5017822
08/10/2009;3;1.54513888;11.76845486;114.3504661
09/10/2009;3;2.247222229;8.917844792;98.167292
10/10/2009;3;1.950694431;6.844236458;128.1453447
11/10/2009;3;2.044444438;8.364533333;42.84722925
12/10/2009;3;1.698611105;8.983117361;70.56964325
13/10/2009;3;1.901388877;7.219883333;109.8168566
14/10/2009;3;2.165972222;5.665576389;133.1721026
15/10/2009;3;2.356250002;4.975380556;125.6071746
16/10/2009;3;2.316666661;5.106673264;139.9429903
17/10/2009;3;2.890972218;6.304320833;27.42050627
18/10/2009;3;2.674999999;7.058362847;85.60727209
19/10/2009;3;2.826388886;5.705590625;120.9027281
20/10/2009;3;2.429166671;7.794328125;74.96751884
21/10/2009;3;2.615972216;7.282060069;112.7102757
22/10/2009;3;2.492361103;7.101275694;76.53953239
23/10/2009;3;2.313888881;7.538787153;21.85436505
24/10/2009;3;2.724999987;7.641170139;39.38595863
25/10/2009;3;2.289583324;7.948597222;62.61595791
26/10/2009;3;2.254166663;10.77164405;47.71312423
27/10/2009;3;2.107638877;10.3690316;20.3587231
28/10/2009;3;2.372222225;NA;NA
29/10/2009;3;2.161111109;NA;NA
30/10/2009;3;2.210416654;NA;NA
31/10/2009;3;2.921527783;6.410790451;77.10054999
01/11/2009;3;3.321527774;5.065505556;70.73914892
02/11/2009;3;3.110416676;5.451808333;33.69107891
03/11/2009;3;3.057638892;7.421765972;28.85928999
04/11/2009;3;2.47986112;7.058352639;14.44330176
05/11/2009;3;3.138888882;3.137014653;9.143180874
06/11/2009;3;3.139583333;5.510753819;11.6075502
07/11/2009;3;2.691666664;7.607766319;20.18088675
08/11/2009;3;2.568749993;7.003581944;32.52195829
09/11/2009;3;2.502777772;6.164712153;12.96686332
10/11/2009;3;4.034027765;5.090473958;20.52034258
11/11/2009;3;2.98194444;5.332360764;10.7484708
12/11/2009;3;2.924305557;5.204189583;13.61822007
13/11/2009;3;2.721527782;5.447383681;9.442064589
14/11/2009;3;3.16805556;7.364164583;5.918607089
15/11/2009;3;2.414583329;9.877597917;20.9669522
16/11/2009;3;2.44722222;8.898718403;41.19946369
17/11/2009;3;2.643749982;8.337536806;12.4878097
18/11/2009;3;2.385416662;8.740364236;36.67541282
19/11/2009;3;2.520833328;8.261253125;6.293992818
20/11/2009;3;2.832638895;9.439376389;10.96566624
21/11/2009;3;2.377083326;9.828075694;43.26982357
22/11/2009;3;2.575694428;8.168035069;31.49146271
23/11/2009;3;2.336805547;9.165801736;8.945753142
24/11/2009;3;2.486111097;NA;NA
25/11/2009;3;2.733333327;8.353696528;37.89272388
26/11/2009;3;2.154166669;NA;NA
27/11/2009;3;2.511805558;NA;NA
28/11/2009;3;2.950000007;NA;NA
29/11/2009;3;2.676470588;NA;NA
30/11/2009;3;NA;NA;NA
01/12/2009;3;NA;NA;NA
02/12/2009;3;NA;NA;NA
03/12/2009;3;NA;NA;NA
04/12/2009;3;NA;3.960955556;4.408559236
05/12/2009;3;NA;5.024009722;9.651711453
06/12/2009;3;NA;3.500877778;20.78411593
07/12/2009;3;NA;5.934166319;9.459661024
08/12/2009;3;NA;5.396387847;10.26245785
09/12/2009;3;NA;4.688807986;9.63625283
10/12/2009;3;NA;5.413021528;10.50022102
11/12/2009;3;NA;5.040721181;4.940635104
12/12/2009;3;NA;3.921607292;16.36557675
13/12/2009;3;NA;2.135266667;22.96122791
14/12/2009;3;NA;1.158808333;33.68056681
15/12/2009;3;NA;0.846839583;25.84793758
16/12/2009;3;NA;-0.466255556;17.08239233
17/12/2009;3;NA;-0.840741319;7.681296348
18/12/2009;3;NA;-3.652280903;10.84910642
19/12/2009;3;NA;-3.229734028;19.44995315
20/12/2009;3;4.285714286;-5.589972222;35.23625267
21/12/2009;3;4.995833341;-6.867118403;15.48465132
22/12/2009;3;5.324305528;-3.43545625;13.96008131
23/12/2009;3;4.831249994;-0.535252778;9.986064803
24/12/2009;3;4.216666657;-0.25825625;14.89735267
25/12/2009;3;4.818750004;-1.039152431;9.265361186
26/12/2009;3;4.121527763;0.741310764;7.202641453
27/12/2009;3;4.125694449;2.645961806;7.136323935
28/12/2009;3;3.293750003;3.047652083;5.127111343
29/12/2009;3;3.825000001;1.270867361;32.78643553
30/12/2009;3;4.004166666;-1.007220139;31.77108258
31/12/2009;3;4.34375001;-0.636566319;11.51154457
01/01/2010;3;4.116666651;-1.994971875;19.78110922
02/01/2010;3;4.470833308;-3.917010417;9.046845069
03/01/2010;3;4.712500004;-3.768894097;16.14140396
04/01/2010;3;5.760416645;-6.213856944;31.19899185
05/01/2010;3;5.135416685;-1.886880903;21.31942579
06/01/2010;3;4.7027778;-1.843368403;12.95567696
07/01/2010;3;5.068749986;-3.063310417;15.96217666
08/01/2010;3;6.291666652;-3.261558681;15.67489885
09/01/2010;3;5.133333335;NA;NA
10/01/2010;3;5.253472267;NA;NA
11/01/2010;3;4.916666665;NA;NA
12/01/2010;3;4.838888865;NA;NA
13/01/2010;3;4.686805579;-1.787460069;15.06252682
14/01/2010;3;4.583333358;-1.044413984;15.00584727
15/01/2010;3;4.668055586;-2.093476736;6.535140943
16/01/2010;3;4.44791666;-1.739285764;10.26598362
17/01/2010;3;4.897916668;-1.611276042;10.979291
18/01/2010;3;4.360416651;-2.808967014;11.06741366
19/01/2010;3;4.443055554;-2.630668287;32.69260958
20/01/2010;3;4.456249999;-1.101848958;18.59071917
21/01/2010;3;3.950769237;-1.631967014;14.30467015
22/01/2010;3;NA;-3.860357292;21.91924195
23/01/2010;3;NA;-4.526456944;36.951075
24/01/2010;3;NA;NA;NA
25/01/2010;3;NA;NA;NA
26/01/2010;3;4.871428626;NA;NA
27/01/2010;3;6.065277792;NA;NA
28/01/2010;3;5.356249985;-1.901297917;18.24119175
29/01/2010;3;4.179166669;0.050549653;65.17853076
30/01/2010;3;4.270833308;-1.28629678;6.633895728
31/01/2010;3;4.895138893;-5.557148958;52.80109453
01/02/2010;3;5.266666633;-1.246850694;50.93183288
02/02/2010;3;4.894444442;-3.953014583;24.18400286
03/02/2010;3;5.052083323;NA;NA
04/02/2010;3;4.456250005;NA;NA
05/02/2010;3;4.478472232;-0.861094792;54.57651396
06/02/2010;3;4.28194444;-0.174035069;45.15836942
07/02/2010;3;4.842361137;-1.712954514;20.6099325
08/02/2010;3;4.932638908;-2.78178125;29.41822123
09/02/2010;3;4.459027779;-3.97525625;28.71780509
10/02/2010;3;4.677083335;-4.407803125;47.64249677
11/02/2010;3;4.790972213;-3.262226042;50.02878127
12/02/2010;3;4.622916657;-4.623603125;106.8281102
13/02/2010;3;5.579861114;-3.6508;53.19091743
14/02/2010;3;5.149305559;-3.939916667;49.5637957
15/02/2010;3;4.878472226;-2.909886458;59.17521277
16/02/2010;3;4.642361098;-2.393850694;56.30608814
17/02/2010;3;4.327777763;-2.918429861;96.69258947
18/02/2010;3;4.831944447;-2.342117708;55.71342534
19/02/2010;3;4.327083333;-1.243202431;33.68511247
20/02/2010;3;4.496527769;0.943670833;47.22827182
21/02/2010;3;4.437499993;-0.228866667;33.7105502
22/02/2010;3;4.166666647;-3.992492708;119.0389592
23/02/2010;3;4.766666667;-0.139978819;61.05535587
24/02/2010;3;4.48402778;-2.164635417;91.076444
25/02/2010;3;4.590972212;-2.354940625;54.99965055
26/02/2010;3;4.756249987;1.185549306;49.73756484
27/02/2010;3;4.261805558;2.429347917;67.76362545
28/02/2010;3;4.654861104;2.083571181;41.12141286
01/03/2010;3;3.973611106;1.788750694;57.21011852
02/03/2010;3;4.262500013;0.796434028;115.4578471
03/03/2010;3;4.277083327;0.414802778;124.4430382
04/03/2010;3;4.186805545;0.288857292;108.3193692
05/03/2010;3;4.690972204;-1.894615278;143.8176707
06/03/2010;3;4.359722235;-2.41323125;111.3712682
07/03/2010;3;4.184722222;-3.939482986;182.7786433
08/03/2010;3;4.683333312;-3.198224306;88.02305527
09/03/2010;3;4.193055543;-3.208820139;124.0319319
10/03/2010;3;5.388888882;-1.644364236;86.34646126
