"t";"Ta";"G";"Ws";"Q1";"Q2";"Q3";"Q4"
"2009-01-02";-0.619622569444444;24.8886084606481;0.952476041666667;4.85555556250943;4.5055555568801;NA;NA
"2009-01-03";-2.34269305555556;32.6467993518519;0.624375694444444;4.68958332969083;4.32237762171072;NA;NA
"2009-01-04";1.07303888888889;18.2936721412037;3.08194548611111;4.1138888804449;3.93750000165568;NA;NA
"2009-01-05";-0.960651388888889;12.2634846006944;1.06893854166667;4.02013887961705;4.07222222785155;NA;NA
"2009-01-06";-5.62172083333333;41.2087441435185;1.45632013888889;4.41874997483359;5.17361110779974;NA;NA
"2009-01-07";-2.0797375;25.9341569849537;3.713709375;5.10365853658536;4.35664335330883;NA;NA
"2009-01-08";-1.18219930555556;40.9770609895833;2.75728923611111;NA;4.47412586545611;NA;NA
"2009-01-09";-1.05191493055556;32.9895511168981;3.54978194444444;NA;4.91836734693878;NA;NA
"2009-01-10";3.17404861111111;22.6622487789352;2.19471076388889;NA;NA;NA;NA
"2009-01-11";1.10321944444444;15.5192910763889;2.34172569444444;NA;NA;NA;NA
"2009-01-12";-0.353341666666667;29.3422069328704;5.00206423611111;NA;NA;NA;NA
"2009-01-13";2.993771875;28.1692538368056;5.98245590277778;NA;2.9679999923706;NA;NA
"2009-01-14";3.33543159722222;6.54225969328704;4.23046215277778;NA;3.56736110895872;NA;NA
"2009-01-15";3.19550590277778;14.2746405150463;1.29935381944444;NA;3.32638890130652;NA;NA
"2009-01-16";2.20410069444444;19.5193858680556;0.623568402777778;NA;3.63194445272287;NA;NA
"2009-01-17";0.636536458333333;15.6697517766204;3.91404548611111;NA;3.84236110415724;NA;NA
"2009-01-18";0.498675694444444;8.09301857638889;3.13485555555556;NA;4.04583334260517;NA;NA
"2009-01-19";2.87497326388889;7.273529375;3.52140694444444;NA;3.52777779102325;NA;NA
"2009-01-20";1.95581111111111;26.265426255787;4.12294131944444;NA;3.41458334028721;NA;NA
"2009-01-21";2.99176770833333;29.8835992303241;4.17842986111111;NA;3.50624999817875;NA;NA
"2009-01-22";0.884993055555556;48.4975104224537;1.53693333333333;NA;3.74722222983837;1.79999995231628;3.70000004768372
"2009-01-23";1.27303715277778;39.1305801446759;3.19049479166667;2.87187498807907;3.47083333714141;3.7048611074893;3.27986110415724
"2009-01-24";0.817461458333333;11.3776711400463;4.26062152777778;4.15972222553359;3.94722222619587;4.19236110502647;3.26319445069465
"2009-01-25";1.84173715277778;23.3700991377315;2.07445729166667;3.85486110217041;3.92777777794335;4.21875000745058;2.70416666153404
"2009-01-26";1.4910875;22.6658372222222;1.57463402777778;4.40069445802106;3.72430555356873;4.44236111682322;3.09097221038408
"2009-01-27";0.0824892361111111;12.4095167418981;2.02116180555556;4.61180557972855;3.92013889551163;4.09236107932197;3.88402776171764
"2009-01-28";0.144273611111111;27.0790869791667;0.626069097222222;4.88750001953708;3.82727271860296;3.84861110109422;3.83426573726681
"2009-01-29";-1.32196979166667;24.6079397106481;1.18323923611111;4.27642855388778;4.00909091542651;4.48705037892294;4.11259258764761
"2009-01-30";-1.81480347222222;34.9197474189815;2.00997013888889;4.71294963960167;4.22777778903643;3.67266186407144;4.47480914246945
"2009-01-31";-1.08466631944444;44.124438443287;2.05803576388889;4.43333333316776;4.2479166785876;4.21666666285859;4.03749999321169
"2009-02-01";0.249290625;31.5293831018518;2.2509625;4.16527776834038;3.92447552147445;4.23055555423101;3.84791666186518
"2009-02-02";-1.07201388888889;25.9557210648148;4.77736111111111;4.40069443318579;4.16805554346906;3.98819443852537;3.69510488910275
"2009-02-03";-0.461027430555556;14.9624982465278;4.51395138888889;4.66805553601848;4.1576389024655;3.40069444643127;4.31180557153291
"2009-02-04";0.292887152777778;13.3260077083333;3.29838506944444;4.33333330684238;4.06083915950535;3.94236109695501;2.90347221421285
"2009-02-05";0.643831597222222;9.16771689236111;1.48709027777778;4.62083332737287;3.79790208556435;3.70419582328596;4.0804195649974
"2009-02-06";0.942191666666667;17.0838995081019;1.20294548611111;3.50833333780368;3.68811188210974;3.74097221882807;3.4342657461033
"2009-02-07";3.80341284722222;24.2212980787037;1.90772222222222;3.8384615432966;3.32797203530798;2.97202796264962;2.64895105737073
"2009-02-08";1.98666180555556;21.8222533969907;1.57602256944444;3.42222222520245;3.51944444659683;3.34166667527623;2.46527777570817
"2009-02-09";0.27079375;65.8935166319444;2.85477118055556;3.3791666759385;3.83146854463991;3.36293706652168;2.34444444212649
"2009-02-10";-0.0964197916666667;27.4707766550926;2.15821944444444;4.10972223016951;4.01398600815059;3.80486111177339;2.86293704693134
"2009-02-11";-0.155098958333333;13.8989510648148;4.03568020833333;4.57552448269371;4.02499998774793;4.1328671372437;2.83680553734302
"2009-02-12";-0.880513194444444;59.3642273553241;3.11672881944444;3.99999997516473;4.08041957375053;4.46041666618031;3.01398600231517
"2009-02-13";-2.75214444444444;98.426756712963;2.01335659722222;4.59513887763023;4.28873237757616;3.79510490710919;3.04027777579096
"2009-02-14";-2.91805590277778;56.5176347569444;0.470607986111111;4.60555554926395;4.10559440826203;4.79930553833644;3.1958620564691
"2009-02-15";-2.42011006944444;102.141874085648;1.01289756944444;4.15384612800358;4.29929578724042;3.84305553883314;4.20763888955116
"2009-02-16";0.348607638888889;43.7055146875;1.53848263888889;4.07202796669273;4.04930554413133;4.08402776469787;3.95664335422583
"2009-02-17";0.735522569444444;35.5820427314815;0.873827777777778;3.70000002036492;3.66197182762791;3.88181817698312;3.98732394357802
"2009-02-18";-2.219953125;103.119136006944;0.991559722222222;4.13194444113308;4.05734264433801;3.65034964243015;4.00279720179684
"2009-02-19";-1.64929375;49.3941745196759;0.903407638888889;4.32847217387623;4.45244754444469;4.87291667651799;4.37013887945149
"2009-02-20";0.695319791666667;22.7719476215278;2.21467604166667;4.21874997516473;3.94513889816072;4.17222223016951;3.65594404393976
"2009-02-21";0.53945625;24.7222267708333;0.960938888888889;4.05486112336318;3.67361109579603;3.78472223298417;3.85277777744664
"2009-02-22";1.4574;51.112076712963;1.79345451388889;3.82777777562539;4.09160839094149;3.82569444013966;3.69650348583302
"2009-02-23";4.77788090277778;57.6193701041667;4.37980243055556;2.96783217516812;3.62377623911504;3.37083333109816;3.23333332630702
